Start Date,Duration (in seconds),"What is your key word? 

A reminder that the keys are case-sensitive.",Which session is this?,Were you allowed to use Ender for this session?,How familiar were you with the content of the paper prior to the reading?,Have you previously read this excerpt prior to today?,I had completed the reading in the allotted time.,How easy or difficult did you find this excerpt?,What percentage of the paper do you think you understand? - %,What is the main argument of the paper?,"How does Akerlof support this argument?


Please be as specific as possible in your answer.","In the excerpt, Akerlof focuses on two groups of traders. Briefly describe their difference and why this matters to the argument of the paper.","Akerlof won the Nobel Prize in 2001 for the paper from which this excerpt was taken. What do you think this paper contributed (to the field of Economics, or otherwise) to merit this award?","In the section following the excerpt, Akerlof writes, ""It is a well-known fact that people over 65 have great difficulty
in buying medical insurance. The natural question arises: why
doesn't the price rise to match the risk?"" Based off of the excerpt you read, what do you think was his answer to this question?","These are a set of equations you encountered in the excerpt. Please interpret, to the best of your ability, what they mean and their importance & relationship to the larger position of the excerpt.",What does p refer to in these equations?,What do the Ys refer to in these equations?,"This is another equation you encountered in the excerpt. Please interpret, to the best of your ability, what it means and its importance & relationship to the larger position of the excerpt.",What does M refer to in the equation?,What does x refer to in the equation?,What is the summation over in the equation?,Which session is this?,Were you allowed to use Ender for this session?,How familiar were you with the content of the paper prior to the reading?,Have you previously read this excerpt prior to today?,I had completed the reading in the allotted time.,How easy or difficult did you find this excerpt?,What percentage of the paper do you think you understand? - %,What is the main argument of the paper?,"How does Akerlof support this argument?


Please be as specific as possible in your answer.","In the excerpt, Akerlof focuses on three groups of people. Briefly describe how they are formed, their difference, and why this matters to the argument of the paper.","In the latter half of the excerpt, Akerlof focuses on the idea of caste-class equilibrium. What is the greater purpose of this section, and how can the principles he laid out be applied to another situation outside of the Caste system?","Akerlof writes in the introduction to this section the following:
""In Japan as merchants have become more economically successful, so too have the taboos against trade and manufacture been reduced [...] The best example of economic success reducing taboos is most probably, the elimination of the sanctions against collection of interest. The usurer of the Middle Ages has turned into the banker of today.""
Why did Akerlof include these examples in the introduction, and how is it related to the excerpt?","This an equation you encountered in the excerpt. Please interpret, to the best of your ability, what it means (with as much specificity of variables as possible) and its importance & relationship to the larger position of the excerpt.",What does k* refer to in the inequality?,What does the right side of the inequality represent? How (generally) did Akerlof reach this expression?,"What steps did Akerlof undergo to show the claim? (In other words, how did he build up to this claim?) Please be as specific as possible in your answer.","What is your key word? 

A reminder that the keys are case-sensitive.",Gender - Selected Choice,Gender - Other - Text,Graduation Year,Concentration,Secondary (if applicable),"On average, how many minutes a week do you spend reading text similar to the ones you've encountered","On average, how many pages a week do you read of text similar to the ones you've encountered during this study? 

Similar in this case refers to text with variables and equations that are central to the main positions of the paper.",Any additional comments/concerns
2020-03-11 12:31:45,2394,ALPHA2,Session One,Yes,Not familiar at all,No,Somewhat agree,Extremely difficult,33,"How asymmetrical and symmetrical markets for cars behave in relation to parameters such as price, quality of automobiles, number of vehicles, etc.","He splits it into two parts: asymmetrical and symmetrical. He gave many equations for how demand depends on the ratio between average quality and price, and how this is different for different groups of traders.",N/A,N/A,N/A,First equation: the demand is related to the sum of the total incomes of each type of trade divided by the price if the price is less than 1 (unsure what the units are for that number). Second equation: the demand is equal to the total income of the second trader type divided by the price if the price is between 1 and 3/2. Third equation: the demand is 0 if p is greater than 3/2.,price,total income of either type 1 or type 2 traders,Something that has to do with utility curves?,N/A,N/A,N/A,Session Two,No,Not familiar at all,No,Disagree,Extremely difficult,9,It was about the economic equilibrium of the caste system.,"Equations concerning the output value of unskilled, skilled, and scavenging workers, etc.","The three groups are unskilled, skilled, and scavenging workers. The difference between them is the kind/value of the work they do, and theta (don't remember what this was, probably like output value in one unit of time or something) of scavenging workers is less than theta of unskilled workers is less than theta of skilled workers. This matters to the argument of the paper because these are the different castes in the caste system, and Akerlof is analyzing the equilibrium/immobility of the caste system.",N/A,"This is related to the excerpt's discussion of social immobility in the caste system -- in this example, Japanese merchants were only able to gain social mobility through gaining economic success. ",N/A,N/A,N/A,N/A,ALPHA1,Female,,2023,"Physics, Math, or CS",,0,0,
2020-03-11 13:05:38,1534,MIKE2,Session One,Yes,Slightly familiar,No,Strongly agree,Moderately difficult,50,Something about demand,Some math related to the price of objects and their utility and consumption rates,I don't know,Something about demand and diminishing marginal utility,¯\_(ツ)_/¯ ,"demand based on price is supplier one plus supplier two over price when the price is less than one, just supplier two over price when the price is between 1 and 1.5, and 0 when the price exceeds that",price of a car,supplier rates?,utility equals consumption plus something per number of things bought,consumption rate,don't know,number of cars bought,Session Two,No,Not familiar at all,No,Strongly agree,Moderately difficult,41,different castes of people can be priced for different types of labor,he calculates utility and output of each job type relative to who's doing it,"dominant caste, nondominant caste, outcastes. Dominant has better societal position over nondominat, and outcastes are outcasted from both.",Dunno,talks about disappearing differences between skilled workers and scavengers? ,number of jobs done is greater than output of unskilled and scavenger over alpha times jobs not done by scavengers over skilled workers,number of jobs done,I have no idea,I don't know sorry,ALPHA1,Female,,2022,cs mbb,,60,10,tool was good except I didn't know which variables I should have highlighted until I needed them
2020-03-11 13:15:39,2767,ALPHA2,Session One,No,Not familiar at all,No,Somewhat agree,Moderately difficult,30,Assymetrical information can result in no demand at all in a market while symmetrical information will not.,"Akerlof uses two mathematical models to support his argument - one in which assymetrical information is given, and one in which symmetrical information is given. He then gives different examples of arguments to show how demand in the market would be different between the two models. ","The first group of traders weighted each product with a coefficient of one, and the second group of traders weighted each product with 3/2.","This paper likely combined the mathematical model described in this excerpt with real experimental data to show support for this idea that asymmetrical information could result in a lack of demand in the market. This was likely an important finding in economics (especially behavioral economics), especially in 2001 when behavioral economics was still a very new field.","Even if the price rose, demand would not rise to meet it due to asymmetrical information.","I didn't really understand the math used in this excerpt - I'm never even taken an economics class and since the prompt said that the math didn't matter as much as the intuition, I didn't really try to understand it as much. As far as i could understand, the three Ds were demand at different values of p (price?)  to show that there was no demand at a certain level in the case of assymetric information.","I believe the p could be referring to price, but I don't remember very clearly. ",Y1 refers to the first group of traders and Y2 refers to the second group of traders.,"It's a utility equation for the second group of traders, I didn't really understand exactly how it fit into the larger picture of the paper.",What money could be spent on other products (besides the cars described in x_i) besides cars. ,Used cars?,Number of products (used cars?),Session Two,Yes,Not familiar at all,No,Somewhat disagree,Moderately difficult,36,A equilibrium caste system can be broken by an outcast coalition,Akerlof builds a mathematical model of a 2-caste system with a 3rd outcast group that can eventually break the caste equilibrium system if it gets large enough due to economic factors.,"There is a dominant caste, a nondominant caste, and a group of outcasts. The dominant cast and the nondominant caste can only do specific types of labor (skilled and unskilled) while the group of outcasts, which is made up of people that have broken the rules of the caste system, can offer their labor at a lower rate than those two groups.",The greater purpose of this section was to establish how this equilbrium could be broken if the coalition was large enough to. The principles he laid out could be applied to another situation outside of the caste system such as economic mobility.,Akerlof provided these examples in the introduction to provide an intuitive way for readers to understand how economic success can transform outsiders into the dominant social class (usurers --> bankers).,"sk, u, and sc refer to skilled labor, unskilled labor, and scavenger labor. The theta of all of these variables refer to the amount of production that one worker of that type can do",The equilibrium bound?,Whether or not the coalition can break the caste system?,Created a mathematical model and showed that this was mathematically impossible to occur based on any rational reasoning,DELTA1,Female,,2022,Computer Science and Neuroscience,,"5 hours (300 minutes) but mostly on statistical genomics and computational neuroscience, not economics",100ish,"I felt like the content of this paper was really foreign to somebody who had never taken an economics course before and didn't really know what ""utility function"" meant at all, would have been good/more fair to see a different spread of topics instead of just economics. "
2020-03-11 13:40:40,2170,FOXTROT1,Session Two,No,Moderately familiar,No,Agree,Slightly difficult,51,in an automobile market with varying quality of goods it's possible for there to be no equilibrium / no goods sold,he mathematically proves that there's no intersection of the supply and demand curves?,traders who sell high quality automobiles vs. low quality automobiles - they are willing to accept different prices for their goods ?,perhaps this was a different way to model a market with goods of varying quality? ,not too sure,I believe these are demand equations for varying ranges of prices? a kinked demand curve?? ,p is the price,Y is the income,this is a utility function?,utility of all other goods,utility of automobiles,"for N different automobiles, sum of utility?",Session One,Yes,Moderately familiar,No,Agree,Slightly difficult,50,a caste equilibrium is acheivable,he essentially proved mathematically that individuals/firms have no incentive to stray from the caste equilibrium by showing they would not earn greater profits if they chose to deviate,"dominant caste consists of skilled laborers, nondominant caste consists of unskilled laborers, and all other jobs fall to the scavangers. identifying these different groups is relevant to assigning variables for wage/profit, since they would vastly differ across the three groups but not significantly within them. ",not too sure -- this may have been describing conditions for the equilibrium to hold?,probably to compare roles across different time periods and show how the different categories of workers can translate over time,the thetas represent the wage paid with the subscript representing the worker type. ,"don't quite remember, profit?",don't quite remember,not too sure,ALPHA2,Female,,2022,Applied Math,,60,2-3,
2020-03-11 14:41:16,2038,ALPHA1,Session Two,Yes,Slightly familiar,No,Somewhat agree,Moderately difficult,50,"Asymmetric information leads to bad quality goods pushing out average goods pushing out quality goods, which ultimately leaves no market behind.",Akerlof uses different production functions based on the quality of the good to show how asymmetric information works.,Type 1 and Type 2 traders have different demand curves and constraints. So the dilemma is that there exist goods that one type of trader demands but cannot get.,The importance of information sharing in economic efficiency. The concept of asymmetric information can be readily applied to a number of situations.,"There is not enough information symmetry between senior patients and insurance providers, because the risk is not manifested.",These are different demand constraints.,N/A,N/A,This is a utility function for type 2 traders.,The consumption of all goods including automobiles,The quality of the good,Every good purchased,Session One,No,Not familiar at all,No,Somewhat agree,Moderately difficult,50,There exists a caste equilibrium where people are divided into different groups and no actor can better him or herself through individual actions.,"Akerlof walks through different functions for production, labor, and tastes to show how there must exist an equilibrium. (ie. if one element of a function were to change, how would the others, etc.)","Akerlof discusses the skilled laborers, the unskilled laborers, and the scavenger outcaste. They differ in their ability of work, and this division is crucial to the argument of why there is no mobility in the caste equilibrium. ","I think Akerlof is trying to connect the caste system to class rigidity, where people are bound by their utility/labor/production functions. Not sure how it can be applied elsewhere",Akerlof uses these to provide historical context and frame the discussion of reducing taboos against trade and manufacture. Not sure how it's connected to Akerlof's argument,"The theta variables respectively represent the output function of unskilled, scavenger, and skilled laborers. A represents the quantity of units produced. Not sure what it means",N/A,N/A,Akerlof walked through the firm's labor function to show its limits for wages and hiring.,LIMA2,Female,,2022,Computer Science and Government,Economics,45,30,
2020-03-11 15:17:51,2287,JULIETTE1,Session Two,No,Slightly familiar,No,Somewhat agree,Slightly difficult,70,The main argument of the paper involved how asymmetric information affects the market for used cars as opposed to symmetric information. ,"Akerlof supports this argument from a utilitarian perspective, where he analyzes the utility of the firms in cases of asymmetric information and symmetric information. He then concludes that symmetric information leads to a more optimal scenario by quantitatively analyzing the variables at stake, including demand, quality, price, and supply. ","Akerlof focuses on two groups of traders, one which would have cars of a certain quality and one which would buy. This matters as it creates the two-sided economy that leads to trade happening in a used car marketplace. ",The paper likely contributed by providing quantitative analytics and explanations for the effect of asymmetric information on different marketplaces. ,"Because people over 65 have asymmetric information, in that they have a better idea of medical issues that could arise to use insurance, it is not in the insurance company's best interest to sell them insurance.","(Guessing): the demand of the price is equal to the sum of the wages divided by the price, etc. for different levels of the price. 
I'm not sure how this relates to the argument",price?,income,This provides a linear model to utility by adding up the utility of all of the cars(?) in the second firm. This is important because maximizing utility is one of the points of the excerpt. ,I'm not sure. ,car utility??,all the cars?,Session One,Yes,Not familiar at all,No,Somewhat disagree,Moderately difficult,57,"The main argument of the paper was that caste systems behave like firms in an economy, and thus operate in an equilibrium in which no agent could better itself by taking action. ","Akerlof supports his argument by specifying how an economy functions in the caste system. He then describes the variables an economy with two castes, D and N, and how they would split up the varying types of labor that exist in the economy, which corresponds to the output that the caste produces. He then explains the situation of if there may be more castes. ","Akerlof focuses on the three groups of people, those working skilled, unskilled, and scavenger jobs. They are different in the kind of labor that they offer, and this matters as it affects what kind of labor is common to a caste, and how this gets separated in a caste economy. ","The greater purpose of this section is to explain how an equilibrium is formed through castes using economic concepts, to show how the system formed from an economic framework as related to types of labor, output, and wages. This can be applied to other economic systems outside of the direct caste system. ","Akerlof includes this excerpt as he describes how success changes cultures and how a group can be perceived in a society. This relates to the larger idea of the section, which is of caste systems, in which there are higher castes which are perceived more highly than other groups. ","I'm not quite sure. 
The subscripts of the theta refer to unskilled, skilled, and scavenger labor. ",I'm not quite sure. ,I'm not quite sure. ,"Akerlof previously discussed formulas for calculating wage for each of the kinds of labor, and how they can eventually reach equilibrium. Consequently, once an equilibrium wage is set, then he can show that there can be no further improvements by paying a higher wage than that value. ",ALPHA2,Female,,2022,Computer Science,,20,5,
2020-03-11 15:39:08,1952,ALPHA1,Session Two,Yes,Slightly familiar,No,Somewhat agree,Moderately difficult,20,"In a continuum of car qualities, the presence of worse cars in the market drive out the better cars (with respect to their ranking in the spectrum from bad to good).",He derives numerous utility functions and supply and demand curves to support his argument.,N/A,This paper contributed to the idea of information asymmetry and how that affects supply and demand.,"Because people who set insurance prices have spread out risk amongst different age groups in the population, so although there exists information asymmetry between buyer and seller, they account for this.",N/A,price,Income of group 1 (Y_1) and income of group 2 (Y_2),Utility function of the second group,N/A,N/A,N/A,Session One,No,Not familiar at all,No,Somewhat agree,Moderately difficult,15,The main argument of the paper is that there exists some number to form a coalition in the caste system such that it is not optimal for people to stay within their caste in terms of utility maximization.,He calculates the output function and defines upper and lower bounds on parameters.,"Skilled, unskilled, scavengers -- they are formed based on the caste system itself (any people who are not assigned into one of two castes N and D are outcasted as a scavenger). Skilled workers work technology jobs, unskilled workers work factory jobs (?), and I do not remember what scavengers do.",N/A,N/A,N/A,N/A,"The theta variables represent working rate, theta_u (unskilled), theta_sc (scavenger), theta_sk (skilled).",N/A,JULIETTE2,Female,,2021,Applied Math,Economics,0,0,
2020-03-18 09:05:45,3100,JULIETTE2,Session One,Yes,Moderately familiar,No,Somewhat agree,Slightly difficult,70,"The main argument of the paper is that the market of cars can become completely eliminated through asymmetric information and ""lemons"" driving out other cars in the market.","Akerlof supports this argument by explaining how supply and demand differ between markets with asymmetric information and symmetric information for three groups of sellers with different levels of quality. In the asymmetric information market, quality of cars drives the number of cars sold whereas in the symmetric information market, price of cars drives the number of cars sold.",The two groups of traders have different levels of quality. Including the two groups is important because it demonstrates how the two groups will sell different amounts of cars based on whether the market has asymmetric or symmetric information.,"This paper contributed a better understanding of how asymmetric information markets work.
",The price does not rise to match the risk because the ones that insure themselves understand their own health risk whereas those that do not insure themselves have lower risk.,"These equations show the demand equilibriums for a market with symmetric information. These equations help illustrate how price drives demand in such a market while mu, quality, is not in the equations, unlike the demand equations for the asymmetric information.",price,income,"This is a utility function for group two, showing how the utility depends on the quality of a car Xi.",consumption for items that are not cars,quality,i don't know,Session Two,No,Not familiar at all,No,Somewhat agree,Moderately difficult,50,"Main argument of the paper is that in a caste equilibrium, it is impossible for individuals to act differently and earn a zero or positive gain.","Akerlof supports the argument by showing how skilled, unskilled, and scavenging laborers maximize utility in the caste equilibrium.","Three groups of people are the dominant, non-dominant, and other group. The groups are based on what type of caste level you are born into and the differences matter because based on the group you are born into, it determines what type of labor you provide.","The greater purpose of this section is to show how caste classes are able to be sustained over time and provide each individual maximum utility by staying in their given class. Principles he laid out can be applied to another situation outside of the Caste system by thinking about what social structures exist that places individuals into groups and positions in which they benefit most from and cannot leave. An example could be underground, informal economies and markets such as black women in New York in the early 20th century earning higher wages as underground prostitutes as they would to pursing jobs in the formal economy where they faced discrimination and lower wages.","These examples are included to demonstrate how social and cultural structures, outside of the caste system, can also have a huge influence in how a given economy operates and how given economic agents behave. It is related to the excerpt because it shows how long-standing beliefs can influence economic outcomes; this is similar to how long-standing beliefs of the caste system perpetuate certain economic opportunities and outcomes since individuals are born into a caste class and are associated with it for the rest of their lives.","The equilibrium k is dependent on the different types of labor: skilled, unskilled, and scavenging. The importance to the larger position of the excerpt is how caste classes fall into one of the three types of labor and are stuck in those groups.",different types of firms,profitability of different types of labor,"Akerlof first made assumptions about laborers/firms producing one good and consumers have preferences for multiple goods. Then, he described the dominant, non-dominant, and other caste-classes as well as the three types of labor: skilled, unskilled, and scavenging. Then he uses multiple equations to show why caste classes continue to exist because individuals benefit the most that they possibly can in a given caste class in equilibrium.",ALPHA1,Female,,2020,Economics,,0,0,Haven't taken an economics class in a while so definitely had a tougher time reading through the passages.
2020-03-18 12:38:45,1938,ALPHA1,Session Two,Yes,Not familiar at all,No,Agree,Slightly difficult,70,"Demand in an asymmetric world is determined by the price, quality, and income of two different traders.","He does this by showing in a series of steps how one can derive the demand and supply of a car given the price, quality, and income of the traders.",I don't remember,Perhaps it could be used to predict the optimal price of the certain items or predict the actions of any given individual. ,Because the price would be greater than the quality that it provides and then no one would buy it.,Demand at price p is given by the income of trader 2 plus income of trader one divided by the price is price is less than one. The demand at price p is given by the income of trader 2 divided by price p if the price is between 1 and 3/2. The demand is 0 at price p if the price is greater than 3/2.,Price,Income of traders,I don't remember,I don't remember,I don't remember,I don't remember,Session One,No,Not familiar at all,No,Somewhat disagree,Moderately difficult,60,The max utility is defined as theta_sc,He goes through a series of steps how he got to his final answer.,"The skilled, unskilled, and the outcaste. ",He defines this because he is trying to show that a coalition can break the caste equilibrium. ,This relates to the coalition that can break the caste equilibrium. ,I don't remember,I don't remember,I don't remember,I don't remember,NOVEMBER2,Male,,2020,Computer Science,,0,0,
2020-03-18 13:37:45,2162,ECHO2,Session One,Yes,Slightly familiar,No,Strongly agree,Moderately difficult,60,"Asymmetric information can result in a marketplace in which certain consumers wish to purchase goods at a price under that which suppliers are willing to sell, yet no trades occur","He introduces a term mu = the quality of a product, which parametrizes (along with the true price) the overall demand. This is set to be the average quality of used cars in the market, and is able to show that there is never a point where it is worthwhile to supply... I think... when this term is present
lol","I think they're different in whether or not their demand is affected by the perceived quality of the car (which is based on the avg quality of used cars) -- but not really sure. That would mean one type of trader has perfect info, and the other does not","It explained why when certain parties have more information about a market, there can be a situation in which they are strictly worse off (go from being able to trade to not at all) because of the presence of another non-perfect trader, that when acting strategically, will choose not to participate.",Perhaps because we have a legal system in which agents that do have perfect information (i.e. the government through Medicare) barters on behalf of old folks,"These are the perfect information demand questions, which indicate that the demand is non-zero for a wider range of p values",price of average vehicle,Income of each of the trader groups,I think this is the total amount of utility obtained by consumers in the market ,(utility of) Everything that people buy other than cars,Utility of a car,All of the cars available in the market,Session Two,No,Slightly familiar,No,Somewhat agree,Moderately difficult,50,In a caste system no individual has strategic benefit of producing a type of labor other than that expected of their caste,"Established a model for the caste system with three types of labor (and corresponding production utilities) -- unskilled, skilled, and scavenging -- with the third category corresponding to that expected of people outcasted","Skilled -- people in the ""higher"" caste that are expected to produce theta_skilled for each unit of labor
Unskilled -- analogous to above
Scavenging -- same thing, people are placed in this category if they purchase from a firm that is not using labor as expected by the caste system, or they themselves do not employ the ""correct"" type of labor","Indicates that the mechanism of people being punished if they (1) break their own expected labor type (2) purchase from a firm breaking its expected labor type 
is enough to take away the ability of people to manipulate the market
Such a system can be applied in any market in which the intent is to create separation of tasks/power between two bodies -- it could be the ability of people in a society to consume alcohol -- punishing a person who consumes it when they are not supposed to in some manner can enforce no single person deviations","Maybe he is positing that caste-like structures exist throughout our society, and though they were previously/are currently taboo, they exist in analogous forms because their commitment structure succeeds",This is the case in which a coalition k* can receive positive utility from producing labor of a type other than what is expected,The size of the coalition necessary for each individual in the coalition to benefit from deviation,This is a constant based on the relative labor type utilities that tells us how the coalition breaks strategy proofness -- he probably solved out the equation the other way and reached this constant,"Demonstrated that theta_sc is the breakeven point for a firm that is obeying the labor laws, and that in order for it to pay more than that, it must be achieved by employing labor in incorrect positions which results in a punishment on the firm, which decreases its utility...",ALPHA1,Male,,2020,CS,Economics,180,10,
2020-03-18 14:35:32,2613,LIMA1,Session Two,No,Slightly familiar,No,Agree,Moderately difficult,35,Asymmetric information in markets leads to a loss of overall utility,"'-Defines utility functions for each group of traders - group 1 and 2
-Derives the demand of the market in 2 scenarios, one with and one without the presence of asymmetric information
-Explains that higher utility is possible in certain cases of symmetric information","'-Group 1 derives utility from 1 * the value of the car, while group 2 derives utility from 3/2 * the value of the car; differed in the way they spent their income
-Helped the calculations work out",'-Pointed out that the market on its own would not generate the maximum utility in this scenario; indicated that further intervention might be needed in markets in which asymmetric information is a problem,"'-The price can't rise to match the risk because the market is then deterring those with fewer medical issues from buying insurance (because they might not need it), while selecting for those with more medical issues (or more potential)","Indicates the demand of car buyers in the market at certain prices for cars; in the case of asymmetric information, no cars would be sold despite the fact that they would be sold at their individual prices",price of a car,income of each group,"utility gained by group 2 from M (other goods) and x_i the utility gained from each car, up to N total cars",utility gained from other goods (non-cars),utility gained from each car,all cars up to N total cars,Session One,Yes,Not familiar at all,No,Somewhat agree,Moderately difficult,15,"A caste system exists for which an equilibrium can be maintained, in that an individual of a particular class can't benefit from doing labor outside of that class(??)","'-Discusses the social structure / caste system, with the dominant class, nondominant class, and outcasts if any
-Relays the different types of labor, including scavenging, +2 more that offer more utility per unit(??)
-Explains that companies can't earn nonnegative profits by purchasing more labor units of a certain class than another class
-Explains how utility / profits are calculated","'-Dominant, nondominant, and outcasts; these people perform different types of work and this matters because their labor offers different profits / levels of utility to companies they work under",'-To explain that companies can't earn nonnegative profits by exploiting the labor of a particular caste-class,'-The current ability to collect high interest rates links to the equilibrium that exists between the banker and whoever takes the loan,"Something about why companies can't exploit particular classes for their labor
sk is scavenging, utility(?) of work performed by outcasts, theta_u is utility of work performed by nondominant class, theta_sc is utility of work performed by dominant class",# of companies,I don't remember rip,He reached a contradiction by assuming that firms could bid a wage higher than theta_sc,ALPHA2,Female,,2022,CS,,120,30,
2020-03-18 15:05:12,2236,ALPHA1,Session Two,Yes,Not familiar at all,No,Somewhat disagree,Moderately difficult,40,It is possible for price to drive down quality until there is no market at all,He outlines two groups of used automobile traders with two different utility functions. Using these utility functions he derives the supply and demand formulas for type 1 and type 2 buyers to create the total supply and demand formulas for used automobiles. Each type of buyer has a limit on demand based on price and quality and he shows that these can conflict to result in a market with zero demand,"the two groups of traders have different utility functions, with type two gaining slightly more utility per automobile",This paper contributed to the field of economics by showing that it was very possible to have a case where different utilities drove market demand to zero,the price could drive off demand,"Total demand for used automobiles is equal to the incomes of type 1 and 2 buyers combined over the price of the automobile only if the price is greater than 1. The demand becomes the income of type 2 over price if the price is between 1 and 1.5, and the demand falls to zero once the price becomes greater than 3/2. These equations are relevant when there is symmetric information, but suggest that as the price rises above a certain threshold the demand for all used automobiles will fall to zero.",price of the automobile,income of group 1 and 2,This equation is the utility function for type two buyers. Important in determining the threshold at which type 2 buyers will stop buying cars as the price increases,utility from everything that isnt automobiles,number of automobiles,N/A,Session One,No,Not familiar at all,No,Somewhat agree,Extremely difficult,30,Mathematical proof for caste equilibrium,N/A,"Dominant, nondominant, and outcastes. Dominant caste can only perform skilled labor, nondominant can only perform unskilled labor, and only outcastes can perform scavenger labor. Outcastes can be of either dominant or nondominant castes. Matters to the paper because separates out these three groups of people. Caste equilibrium can only exist if outcastes cannot have a higher production wage than skilled/unskilled ??",,,N/A,N/A,N/A,N/A,JULIETTE2,Female,,2020,Psychology,Computer Science,0,0,
2020-03-18 15:11:10,2432,DELTA2,Session One,Yes,Not familiar at all,No,Somewhat agree,Moderately difficult,40,"In a market with asymmetrical information, the demand for cars may be zero. This is not the case for markets with symmetrical information.","In asymmetrical markets, equilibrium is never achieved because average quality is equal to one half of price. In symmetrical markets, a set of 3 equations describe a market where there is some demand.","The traders in group one have each incremental car add x_i utility, while group two adds 3/2 x_i utility for every new car. This is somehow related to the imbalance of information.",Unsure.,"If older people are at higher risk for health insurance, they may not be willing to pay for it since they will die soon anyway. So they go for cheaper insurance.","When price is less than 1, demand is equal to the sum of two incomes of the two groups divided by 2.

When price is between 1 and 3/2 (the multipliers for the utility of the x_i car), the demand is the second groups income divided by price. 

When price is greater than 3/2, the demand is 0. 

This is showing how different segments of pricing impact the demand. Once the price goes above the multiplier for a new car, at 1 or 3/2, then the respective trader will no longer purchase it and the demand is 0.",price,income,This is the utility function of the second group of traders. It is used to show how different groups may impact the demand in the market. ,utility of all other consumed goods.,the utility of a car. ,the number of cars N,Session Two,No,Not familiar at all,No,Somewhat agree,Moderately difficult,45,"In a society with caste divisions and 3 levels of labor skill and wages, a coalition of some k firms can break the caste system if they are able to overcome some conditions of based on the caste system.","First he shows that the behavior of any single person cannot break this system. Then, he shows the conditions of how using various types of outcaste labor can impact the price and wage of people, and how that affects customer behavior. ","There is the dominant caste, nondominant, and outcaste. Within the caste system, they are mandated to work in specific jobs. Additionally, any company that breaks the caste system will result in their customers being forced into the outcaste level as well. This matters because this impacts how each level of the caste behaves, how firms price their goods, and also how people shop with their wages. ","The purpose of this section is to show that the conditions of the caste system he lays out reaches an equilibrium and that no single individual can break this equilibrium. This is to contrast with the requirement of firms needed to break the caste system.
","Presumably, a great social taboo within the caste system is to work a job deemed unfit for your caste. Akerlof shows that a coalition of firms can break this taboo by making it economically feasible for people to break caste. His argument seems to be that economic advancement creates the conditions for this coalition to emerge, which is why these examples of the Japanese merchants and banking interest are relevant. They were allowed to exist because of economic growth. ",This inequality denotes the condition where a coalition of firms can break the caste system. It represents the central argument of this article. ,k* refers to the number of firms and the products they produce. ,"I'm not sure exactly what it represents, but Akerlof arrives at this expression by analyzing the cost of hiring outcaste labor, the resulting price at which they must price the good, and how customers would react to it based on their wages. ",Akerlof looked at the possibility of bidding higher than theta_sc for outcate labor and showed that it would have no customers. ,ALPHA1,Male,,2020,Applied Math w/ CS,,180,10,
2020-03-18 15:43:31,2408,ALPHA1,Session Two,Yes,Not familiar at all,No,Somewhat agree,Moderately difficult,50,The paper argues about how different utility functions for different types of traders affects the supply and demand equilibria for used cars.,"Akerlof supports his argument by using two specific utility functions and deriving the supply and demand based off of assumed values for the price of the car, quality of the car, number of cars, etc.","Type 1 traders have some consumption of goods unrelated to the cars and also have cars, and type 2 traders have no cars.",This paper showed using a very simple setup how supply and demand equilibria are affected by the utility function of those who are buying and selling. ,"This is most likely because if the price rose to match the risk, potential buyers would still not be willing to pay that price and so in order to keep demand at a certain level the price must remain lower.","D(p) refers to the demand for cars that sell for a certain price p, so the equations describe how demand changes as price changes and how that demand can be described in terms of the income of two different types of traders.",The price of the car,The income of the two types of traders,"This is the utility function of the type two traders who have no cars, which is important because it contrasts the utility function of type one traders. Type two traders have different supply and demand curves from type one traders, which can be traced back to this function.",The consumption of goods unrelated to the car. ,The quality of car i,The total number of cars,Session One,No,Not familiar at all,No,Agree,Moderately difficult,65,"The paper argues that given a caste system where members of cast K are restricted to labor of type K, and anyone who deviates from this enters an ""outcast"" state, there is an equilibrium that describes the number of coalitions of people who work outside their caste the system can tolerate while maintaining its economic structure.","Akerlof supports this argument by proving that the equilibrium exists mathematically and that there is a combination of variables (which include number of people in each caste, wages for each caste, and number of coalitions) that would break the equilibrium. ","Dominant caste can perform skilled labor, non-dominant caste can perform unskilled labor, outcaste can perform scavenging labor, and people are born into their respective castes","The caste system is simply a more rigid description of the class system that exists in every society, whether the divisions are caused by education, wealth, geography, race, etc. Akerlof's ideas could be applied to analyzing these divisions in society in order to see how people of a certain class might break into labor that is not typically performed by members of their class.","Perhaps Akerlof is trying to imply that if a particular caste or type of laborer became more successful at the labor they do, there would be fewer restrictions placed upon them and that could result in greater social/class mobility for those people within society.",This is the condition under which caste-class equilibrium is broken,The number of coalitions it requires to break caste-class equilibrium ,It represents the ratio of non-dominant and outcast labor to dominant labor,"He assumes that outcaste labor is paid theta_sc. He also shows that the price of the good that the firm produces times the quantity it produces is only profitable if the workers are paid theta_sc in wages. This means that if the workers are paid x > theta_sc, the price of the good times the quantity sold will not be enough for the firm to break even or make a profit. ",NOVEMBER2,Female,,2020,Computer Science,Energy & Environment,240,60,
